Waterbody,Sex,Age,n,%Total,bin_range,bin_min,bin_max,meanFL,SD,SE,,,,
Campbell River,M,3,6,100%,500 - 699,500,699,595,51,20.82,,,,
Campbell River,M,4,13,38%,550 - 949,550,949,776,84,23.30,,,,
Campbell River,M,5,12,34%,700 - 949,700,949,846,50,14.43,,,,
Campbell River,M,6,1,100%,900 - 949,900,949,930,0,0.00,,,,
Campbell River,F,3,0,0%,NA,NA,NA,NA,NA,NA,,,,
Campbell River,F,4,21,62%,700 - 899,700,899,783,49,10.69,,,,
Campbell River,F,5,23,66%,750 - 949,750,949,839,36,7.51,,,,
Campbell River,F,6,0,0%,NA,NA,NA,NA,NA,NA,,,,
Quinsam River,M,3,45,98%,500 - 849,500,849,626,81,12.07,,,,
Quinsam River,M,4,56,49%,550 - 949,550,949,723,70,9.35,,,,
Quinsam River,M,5,9,23%,700 - 949,700,949,806,63,21.00,,,,
Quinsam River,M,6,0,0%,NA,NA,NA,NA,NA,NA,,,,
Quinsam River,F,3,1,2%,700 - 749,700,749,700,0,0.00,,,,
Quinsam River,F,4,58,51%,650 - 849,650,849,744,36,4.73,,,,
Quinsam River,F,5,31,78%,700 - 949,700,949,830,42,7.54,,,,
Quinsam River,F,6,2,100%,800 - 849,800,849,838,4,2.83,,,,
Quinsam Hatchery,M,3,67,88%,400 - 749,400,749,595,56,6.84,,,,
Quinsam Hatchery,M,4,95,42%,550 - 899,550,899,745,55,5.64,,,,
Quinsam Hatchery,M,5,12,16%,750 - 949,750,949,845,47,13.57,,,,
Quinsam Hatchery,M,6,1,50%,750 - 799,750,799,756,0,0.00,,,,
Quinsam Hatchery,F,3,9,12%,550 - 749,550,749,644,46,15.33,,,,
Quinsam Hatchery,F,4,130,58%,600 - 899,600,899,742,43,3.77,,,,
Quinsam Hatchery,F,5,61,84%,700 - 949,700,949,823,45,5.76,,,,
Quinsam Hatchery,F,6,1,50%,800 - 849,800,849,812,0,0.00,,,,
